"Indicator Code","Indicator Name","Aggregation Method","Dataset","General Comments","License Type","License URL","Long Definition","Periodicity","Reference Period","Short Definition","Source","Topic","Unit of Measure","Related Indicators","Development Relevance","Limitations and Exceptions","Notes from Original Source","Statistical Concept and Methodology","Other Web Links","Base Period","Other Notes","Previous Indicator Name","Related Source Links"
"IC.REG.PROC.FE","Start-up procedures to register a business, female (number)","Unweighted average","","Data are presented for the survey year instead of publication year.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Start-up procedures are those required to start a business, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications to start operations. Data are for businesses with specific characteristics of ownership, size, and type of production.","Annual","","","World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme","Entrepreneurship","","","The economic health of a country is measured not only in macroeconomic terms but also by other factors that shape daily economic activity such as laws, regulations, and institutional arrangements. The data measure business regulation, gauge regulatory outcomes, and measure the extent of legal protection of property, the flexibility of employment regulation, and the tax burden on businesses.

The fundamental premise of this data is that economic activity requires good rules and regulations that are efficient, accessible to all who need to use them, and simple to implement. Thus sometimes there is more emphasis on more regulation, such as stricter disclosure requirements in related-party transactions, and other times emphasis is on for simplified regulations, such as a one-stop shop for completing business startup formalities.

Entrepreneurs may not be aware of all required procedures or may avoid legally required procedures altogether. But where regulation is particularly onerous, levels of informality are higher, which comes at a cost: firms in the informal sector usually grow more slowly, have less access to credit, and employ fewer workers - and those workers remain outside the protections of labor law. The indicator can help policymakers understand the business environment in a country and - along with information from other sources such as the World Bank's Enterprise Surveys - provide insights into potential areas of reform.","The Doing Business methodology has limitations that should be considered when interpreting the data. First, the data collected refer to businesses in the economy's largest city and may not represent regulations in other locations of the economy. To address this limitation, subnational indicators are being collected for selected economies. These subnational studies point to significant differences in the speed of reform and the ease of doing business across cities in the same economy. Second, the data often focus on a specific business form - generally a limited liability company of a specified size - and may not represent regulation for other types of businesses such as sole proprietorships. Third, transactions described in a standardized business case refer to a specific set of issues and may not represent the full set of issues a business encounters. Fourth, the time measures involve an element of judgment by the expert respondents. When sources indicate different estimates, the Doing Business time indicators represent the median values of several responses given under the assumptions of the standardized case. Fifth, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. Please also see: https://www.doingbusiness.org/en/about-us/faq","","Data are collected by the World Bank with a standardized survey that uses a simple business case to ensure comparability across economies and over time - with assumptions about the legal form of the business, its size, its location, and nature of its operation. Surveys are administered through more than 9,000 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials, and other professionals who routinely administer or advise on legal and regulatory requirements.

Entrepreneurs around the world face a range of challenges. One of them is inefficient regulation. This indicator measures the number of procedure for a small- to medium-size limited liability company to start up and formally operate in each economy’s largest business city.  To make the data comparable across 190 economies, Doing Business uses a standardized business that is 100% domestically owned, has a start-up capital equivalent to 10 times the income per capita, engages in general industrial or commercial activities and employs between 10 and 50 people one month after the commencement of operations, all of whom are domestic nationals.  The starting a business indicators consider two cases of local limited liability companies that are identical in all aspects, except that one company is owned by five married women and the other by five married men.  

The Doing Business project of the World Bank encompasses two types of data: data from readings of laws and regulations and data on time and motion indicators that measure efficiency in achieving a regulatory goal. Within the time and motion indicators cost estimates are recorded from official fee schedules where applicable. The data from surveys are subjected to numerous tests for robustness, which lead to revision or expansion of the information collected.","","","","",""
"IC.REG.PROC.MA","Start-up procedures to register a business, male (number)","Unweighted average","","Data are presented for the survey year instead of publication year.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Start-up procedures are those required to start a business, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications to start operations. Data are for businesses with specific characteristics of ownership, size, and type of production.","Annual","","","World Bank, Doing Business project (http://www.doingbusiness.org/). NOTE: Doing Business has been discontinued as of 9/16/2021. For more information: https://bit.ly/3CLCbme","Entrepreneurship","","","The economic health of a country is measured not only in macroeconomic terms but also by other factors that shape daily economic activity such as laws, regulations, and institutional arrangements. The data measure business regulation, gauge regulatory outcomes, and measure the extent of legal protection of property, the flexibility of employment regulation, and the tax burden on businesses.

The fundamental premise of this data is that economic activity requires good rules and regulations that are efficient, accessible to all who need to use them, and simple to implement. Thus sometimes there is more emphasis on more regulation, such as stricter disclosure requirements in related-party transactions, and other times emphasis is on for simplified regulations, such as a one-stop shop for completing business startup formalities.

Entrepreneurs may not be aware of all required procedures or may avoid legally required procedures altogether. But where regulation is particularly onerous, levels of informality are higher, which comes at a cost: firms in the informal sector usually grow more slowly, have less access to credit, and employ fewer workers - and those workers remain outside the protections of labor law. The indicator can help policymakers understand the business environment in a country and - along with information from other sources such as the World Bank's Enterprise Surveys - provide insights into potential areas of reform.","The Doing Business methodology has limitations that should be considered when interpreting the data. First, the data collected refer to businesses in the economy's largest city and may not represent regulations in other locations of the economy. To address this limitation, subnational indicators are being collected for selected economies. These subnational studies point to significant differences in the speed of reform and the ease of doing business across cities in the same economy. Second, the data often focus on a specific business form - generally a limited liability company of a specified size - and may not represent regulation for other types of businesses such as sole proprietorships. Third, transactions described in a standardized business case refer to a specific set of issues and may not represent the full set of issues a business encounters. Fourth, the time measures involve an element of judgment by the expert respondents. When sources indicate different estimates, the Doing Business time indicators represent the median values of several responses given under the assumptions of the standardized case. Fifth, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. Please also see: https://www.doingbusiness.org/en/about-us/faq","","This indicator measures the number of procedures for a small- to medium-size limited liability company to start up and formally operate in each economy’s largest business city.  To make the data comparable across 190 economies, Doing Business uses a standardized business that is 100% domestically owned, has a start-up capital equivalent to 10 times the income per capita, engages in general industrial or commercial activities and employs between 10 and 50 people one month after the commencement of operations, all of whom are domestic nationals. The starting a business indicators consider two cases of local limited liability companies that are identical in all aspects, except that one company is owned by five married women and the other by five married men.","","","","",""
"IC.WEF.LLCD.FE","Number of female directors","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Number of female directors is the number of female individuals who conduct the affairs of newly registered limited liability companies in the calendar year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
"IC.WEF.LLCD.FE.ZS","Share of female directors (% of total directors)","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Share of female directors is the proportion of female directors of newly registered limited liability companies out of the total number of directors of newly registered limited liability companies in the economy in the calendar year. A  director is defined as an individual who conducts the affairs of newly registered limited liability companies in the calendar year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
"IC.WEF.LLCD.MA","Number of male directors","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Number of male directors is the number of female individuals who conduct the affairs of newly registered limited liability companies in the calendar year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
"IC.WEF.LLCD.MA.ZS","Share of male directors (% of total directors)","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Share of male directors is the proportion of male directors of newly registered limited liability companies out of the total number of directors of newly registered limited liability companies in the economy in the calendar year. A  director is defined as an individual who conducts the affairs of newly registered limited liability companies in the calendar year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
"IC.WEF.LLCO.FE","Number of female business owners","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Number of female business owners is the number of female individuals that own at least one share of a limited liability company that was newly registered in the calendar year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
"IC.WEF.LLCO.FE.ZS","Share of female business owners (% of total business owners)","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Share of female business is the proportion of female newly registered limited liability company owners out of the total number of newly registered limited liability company owners in the economy in the calendar year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
"IC.WEF.LLCO.MA","Number of male business owners","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Number of male business owners is the number of male individuals that own at least one share of a limited liability company that was newly registered in the calendar  year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected on sole proprietorship. Data on the number of total or closed sole proprietorships are not included.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
"IC.WEF.LLCO.MA.ZS","Share of male business owners  (% of total business owners)","","","For cross-country comparability, only limited liability corporations that operate in the formal sector are included.","","","Share of male business is the proportion of male newly registered limited liability company owners out of the total number of newly registered limited liability company owners in the economy in the calendar year.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.

The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.

The data includes all limited liability corporations regardless of size. Partnerships and sole proprietorships are not considered in the analysis due to the differences with respect to their definition and regulation worldwide. Data on the number of total or closed firms are not included due to heterogeneity in how these entities are defined and measured.","","","","",""
